GMMVAE(
  (fc1): Linear(in_features=12567, out_features=1024, bias=True)
  (mus): ModuleList(
    (0): Linear(in_features=1024, out_features=20, bias=True)
    (1): Linear(in_features=1024, out_features=20, bias=True)
    (2): Linear(in_features=1024, out_features=20, bias=True)
    (3): Linear(in_features=1024, out_features=20, bias=True)
    (4): Linear(in_features=1024, out_features=20, bias=True)
    (5): Linear(in_features=1024, out_features=20, bias=True)
    (6): Linear(in_features=1024, out_features=20, bias=True)
  )
  (log_vars): ModuleList(
    (0): Linear(in_features=1024, out_features=20, bias=True)
    (1): Linear(in_features=1024, out_features=20, bias=True)
    (2): Linear(in_features=1024, out_features=20, bias=True)
    (3): Linear(in_features=1024, out_features=20, bias=True)
    (4): Linear(in_features=1024, out_features=20, bias=True)
    (5): Linear(in_features=1024, out_features=20, bias=True)
    (6): Linear(in_features=1024, out_features=20, bias=True)
  )
  (wght_comps): Linear(in_features=7, out_features=1, bias=True)
  (fc4): Linear(in_features=20, out_features=20, bias=True)
  (fc5): Linear(in_features=20, out_features=1024, bias=True)
  (fc6): Linear(in_features=1024, out_features=12567, bias=True)
)
==============================Loss==============================
Epoch[1/70], Step [100/105], Reconst Loss: 108.3491, KL Div: 17.5307
Epoch[2/70], Step [100/105], Reconst Loss: 100.1075, KL Div: 1.0565
Epoch[3/70], Step [100/105], Reconst Loss: 97.6281, KL Div: 0.2219
Epoch[4/70], Step [100/105], Reconst Loss: 98.0789, KL Div: 0.1705
Epoch[5/70], Step [100/105], Reconst Loss: 98.1404, KL Div: 0.1259
Epoch[6/70], Step [100/105], Reconst Loss: 96.7599, KL Div: 0.1121
Epoch[7/70], Step [100/105], Reconst Loss: 100.1501, KL Div: 0.1353
Epoch[8/70], Step [100/105], Reconst Loss: 100.1558, KL Div: 0.1528
Epoch[9/70], Step [100/105], Reconst Loss: 101.1603, KL Div: 0.1902
Epoch[10/70], Step [100/105], Reconst Loss: 97.9575, KL Div: 0.2605
Epoch[11/70], Step [100/105], Reconst Loss: 95.5204, KL Div: 0.2923
Epoch[12/70], Step [100/105], Reconst Loss: 96.2768, KL Div: 0.4438
Epoch[13/70], Step [100/105], Reconst Loss: 93.1795, KL Div: 0.4719
Epoch[14/70], Step [100/105], Reconst Loss: 98.2768, KL Div: 0.5204
Epoch[15/70], Step [100/105], Reconst Loss: 99.0958, KL Div: 0.5971
Epoch[16/70], Step [100/105], Reconst Loss: 94.2365, KL Div: 0.7251
